devicenum,stadatastreamid,dssensorid,dsobspropertyid,dsname,dsdesc,dsmunit,dsmsymbol,dsmdefinition,dsobstype,sensortype,sensorname,QAQC_dsname,QAQC_dsdesc,QAQC_stadatastreamid,QAQCfunction,AQI_dsobspropertyid,AQI_dsname,AQI_dsdesc,AQI_dsmunit,AQI_dsmsymbol,AQI_dsmdefinition,AQI_dsobstype,AQI_stadatastreamid
1,,552682f6-6845-11e8-bc31-0f7f6950ff18,34892f54-6844-11e8-bc2f-0b939e986178,Small Thing 1 (Ozone),Small Thing 1 (Ozone; MQ131),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,mq131,ozone,Small Thing 1 (Ozone; MQ131) QAQC,Calibrated ground-level ozone (MQ131),,,cb449100-9a66-11e8-9f2e-f3966ddffbdb,Small Thing 1 (Ozone) AQI,Air Quality Index (AQI) for ground-level ozone,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,
1001,,552682f6-6845-11e8-bc31-0f7f6950ff18,34892f54-6844-11e8-bc2f-0b939e986178,Large Thing 1001 (Ozone; MQ131),Large Thing 1001 (Ozone; MQ131),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,mq131,ozone,Large Thing 1001 (Ozone; MQ131) QAQC,Calibrated ground-level ozone (MQ131),,,cb449100-9a66-11e8-9f2e-f3966ddffbdb,Large Thing 1001 (Ozone; MQ131) AQI,Air Quality Index (AQI) for ground-level ozone.,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,
1001,,3053e820-b119-11e8-86dd-13f7c3432cbc,34892f54-6844-11e8-bc2f-0b939e986178,Large Thing 1001 (Ozone; SM50),Large Thing 1001 (Ozone; SM50),Parts per million,ppm,http://unitsofmeasure.org/ucum.html#section-Derived-Unit-Atoms,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,sm50,ozone,Large Thing 1001 (Ozone; SM50) QAQC,Calibrated ground-level ozone (SM50),,,cb449100-9a66-11e8-9f2e-f3966ddffbdb,Large Thing 1001 (Ozone; SM50) AQI,Air Quality Index (AQI) for ground-level ozone.,Integer index with range of 0-500,,https://en.wikipedia.org/wiki/Air_quality_index,http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,
